yr_team,dead_cap,defense,injured,offense,specialty,w,l,playoff
2017_houston-texans,0.0879602803610735,0.32948839902355476,0.2730019725168274,0.28797548780202575,0.021573860296518584,4,12,no
2017_indianapolis-colts,0.176973526601604,0.25226734791836514,0.24627637754409515,0.303942540610906,0.02054020732502972,4,12,no
2017_jacksonville-jaguars,0.06606107553250974,0.5011492934008247,0.049733306159255426,0.36858483207327297,0.014471492834137175,10,6,yes
2017_kansas-city-chiefs,0.09476800238270772,0.4114494109300495,0.10358542789840508,0.354800024613269,0.03539713417556873,10,6,yes
2017_los-angeles-chargers,0.11936580255401424,0.36845737854405985,0.07477718014451365,0.42669057839724056,0.010709060360171658,9,7,no
2017_los-angeles-rams,0.06362064893343834,0.4918041784131541,0.037331321458129896,0.39228737068686126,0.01495648050841641,11,5,yes
2017_miami-dolphins,0.11765423531869039,0.3267836454418096,0.2860332316476074,0.257166041636841,0.012362845955051613,6,10,no
2017_minnesota-vikings,0.07758132703415453,0.45564771671331383,0.03887945405523535,0.4176461458157839,0.010245356381512378,13,3,yes
2017_new-england-patriots,0.04375197628235948,0.3339274218423842,0.15932682128745468,0.42009890269271827,0.04289487789508338,13,3,yes
2017_new-orleans-saints,0.16245005911727353,0.1915977415322913,0.2388035499954398,0.3752709724209913,0.03187767693400406,11,5,yes
2017_new-york-giants,0.060152166786304924,0.3474875216691877,0.3157274497942218,0.25536069970030356,0.021272162049981967,3,13,no
2017_new-york-jets,0.14304829822921505,0.4279675181336231,0.176827135924049,0.23892868696376507,0.01322836074934776,5,11,no
2017_oakland-raiders,0.02661257835754086,0.3340039014235208,0.09500197139211862,0.5195614823382558,0.02482006648856385,6,10,no
2017_philadelphia-eagles,0.11260110715874021,0.3878575998995628,0.12855923329850358,0.3572969497551823,0.013685109888011124,13,3,yes
2017_pittsburgh-steelers,0.07278228403944921,0.3090832054964746,0.03124590522681819,0.5760259780526938,0.01086262718456408,13,3,yes
2017_san-francisco-49ers,0.2805392580921346,0.26335816426914727,0.1863085681156544,0.2457852072859639,0.024008802237099842,6,10,no
2017_seattle-seahawks,0.043728854261962324,0.38800289329706805,0.1976546572473296,0.35179200321629767,0.018821591977342334,9,7,no
2017_tampa-bay-buccaneers,0.04740560648326317,0.4349184886136095,0.14058098281062179,0.3429725306069945,0.03412239148551103,5,11,no
2017_tennessee-titans,0.04999983113807146,0.4959393477697166,0.0252455213711192,0.3836739020233346,0.04514139769775816,9,7,yes
2017_washington-redskins,0.07133004271761025,0.3382070109675065,0.2821240155790044,0.29003268200330784,0.018306248732571032,7,9,no
2018_arizona-cardinals,0.2299221422708621,0.3479563261822713,0.14065067977421677,0.2606038466296063,0.020867005143043522,3,13,no
2018_atlanta-falcons,0.0519674054899039,0.3137713073302055,0.12952268538132375,0.4741564313120775,0.03058217048648937,7,9,no
2018_baltimore-ravens,0.0842663840616615,0.42174287661890325,0.025635153801068636,0.41240994170438616,0.05594564381398047,10,6,yes
2018_buffalo-bills,0.40373835339983866,0.31474727917802914,0.02809421982391947,0.23338550056045734,0.020034647037755406,6,10,no
2018_carolina-panthers,0.07355574955671972,0.37655947705005116,0.1794532587121562,0.35739898048330426,0.013032534197768652,7,9,no
2018_chicago-bears,0.08595092210495792,0.3981144062254394,0.0653814022220014,0.4173938416193456,0.03315942782825562,12,4,yes
2018_cincinnati-bengals,0.050598752966184664,0.371575457897308,0.3271015145309509,0.2245300450307911,0.02619422957476537,6,10,no
2018_cleveland-browns,0.1419763794711086,0.2735297249002482,0.07778263801398765,0.4865631673334755,0.020148090281180118,7,8,no
2018_dallas-cowboys,0.18655099534364522,0.3597434169876509,0.1161697123340324,0.31871161243564616,0.018824262899025307,10,6,yes
2018_denver-broncos,0.15639908167244457,0.4094172040433823,0.21782724383686003,0.1919533490088053,0.024403121438507834,6,10,no
2018_detroit-lions,0.13943782755480671,0.26239404072144956,0.23335294554663352,0.32394031167018317,0.04087487450692704,6,10,no
2018_green-bay-packers,0.08582492871800737,0.15606639693386729,0.20864106601245605,0.5138524828682363,0.03561512546743299,6,9,no
2018_houston-texans,0.09503282417720091,0.5039300893196741,0.09296907437018112,0.2965654789085082,0.01150253322443563,11,5,yes
2018_indianapolis-colts,0.08895806955540307,0.24097716412389344,0.10800248814335324,0.533350292436447,0.02871198574090322,10,6,yes
2018_jacksonville-jaguars,0.10614815175495672,0.5039168390995235,0.18588179524572734,0.1980885715182042,0.005964642381588237,5,11,no
2018_kansas-city-chiefs,0.13098620443826317,0.42473301883190373,0.059356767466828525,0.36758642023813787,0.017337589024866665,12,4,yes
2018_los-angeles-chargers,0.08646032867441526,0.3113788568142508,0.09905420087250039,0.49144889507956524,0.011657718559268254,12,4,yes
2018_los-angeles-rams,0.09353764237673354,0.4972539487153704,0.024709544372715872,0.3423675279137476,0.04213133662143266,13,3,yes
2018_miami-dolphins,0.11719492591648882,0.39863698843325956,0.15600528219397558,0.31606637979646535,0.012096423659810658,7,9,no
2018_minnesota-vikings,0.037421914136994174,0.4634765427291999,0.055039229780520504,0.42706228302165233,0.017000030331633064,8,7,no
2018_new-england-patriots,0.06185130592993033,0.39643834304104025,0.04902008970078332,0.44845910584321924,0.04423115548502681,11,5,yes
2018_new-orleans-saints,0.1306361206215774,0.2949227349020027,0.08072948594266864,0.4719974105518641,0.021714247981887137,13,3,yes
2018_new-york-giants,0.25582591371213076,0.3004625831044879,0.0568712287072948,0.374065777834223,0.01277449664186355,5,11,no
2018_new-york-jets,0.1484499468413036,0.3096814131884522,0.22427209465371511,0.30669182061217515,0.01090472470435395,4,12,no
2018_oakland-raiders,0.16260962484343844,0.2230218589681398,0.19165870052466272,0.4156437658682131,0.007066049795545916,4,12,no
2018_philadelphia-eagles,0.08695136341091747,0.3140513357059604,0.10828897586524813,0.4810566887256233,0.009651636292250717,9,7,yes
2018_pittsburgh-steelers,0.053137485810634676,0.3676963613606523,0.09634073139983482,0.4661254465182105,0.016699974910667714,9,6,no
2018_san-francisco-49ers,0.14740442170202078,0.21808054110833866,0.3574657360616822,0.2614625742538194,0.015586726874138947,4,12,no
2018_seattle-seahawks,0.1357015293092509,0.2951814444712358,0.10261934122449538,0.44741692492825524,0.019080760066762733,10,6,yes
2018_tampa-bay-buccaneers,0.058605692749859696,0.38564540644848927,0.11074449714127606,0.42221792936859404,0.022786474291780958,5,11,no
2018_tennessee-titans,0.08043708491315099,0.31262189127700407,0.2785762581236119,0.2864893726839335,0.041875393002299546,9,7,no
2018_washington-redskins,0.08353558796639056,0.3320914854301533,0.3165366037492201,0.24834259550153287,0.01949372735270319,7,9,no
2019_arizona-cardinals,0.2649313530218143,0.2520934540044936,0.11887354630690923,0.3448757937290913,0.019225852937691593,5,10,no
2019_atlanta-falcons,0.09839515841472413,0.2810076293420166,0.18147286364581736,0.43144296246785,0.007681386129591892,7,9,no
2019_baltimore-ravens,0.16217114414265274,0.3978400906838531,0.10789920630212517,0.27915637182350056,0.05293318704786837,14,2,yes
2019_buffalo-bills,0.09605820415710337,0.4399446495030053,0.025802484420839475,0.40163850861603295,0.036556153303018896,10,6,yes
